accuracy,loss,val_accuracy,val_loss,epoch
0.9915406107902527,0.01810389757156372,0.9924892783164978,0.01370015274733305,0
0.9915406107902527,0.014331973157823086,0.991416335105896,0.014364682137966156,1
0.9915406107902527,0.012079165317118168,0.9924892783164978,0.012674517929553986,2
0.9912843108177185,0.011085426434874535,0.9924892783164978,0.013034588657319546,3
0.9917969703674316,0.010480735450983047,0.9903433322906494,0.01641205884516239,4
0.9917969703674316,0.008637985214591026,0.9892703890800476,0.015043981373310089,5
0.9923096895217896,0.00897977128624916,0.9924892783164978,0.012872482649981976,6
0.9917969703674316,0.00799359567463398,0.9924892783164978,0.015105593018233776,7
0.9928223490715027,0.00691193388774991,0.991416335105896,0.015239743515849113,8
0.9933350682258606,0.006542070768773556,0.9924892783164978,0.01350113470107317,9
0.9941040873527527,0.0055890437215566635,0.9924892783164978,0.018044618889689445,10
0.9938477277755737,0.00540928915143013,0.9924892783164978,0.0164585392922163,11
0.9958984851837158,0.003468933515250683,0.991416335105896,0.01687593385577202,12
