accuracy,loss,val_accuracy,val_loss,epoch
0.1722635179758072,1.686367154121399,0.3712446391582489,0.8005355596542358,0
0.5836964845657349,1.4493635892868042,0.18991416692733765,1.1071406602859497,1
0.6221481561660767,1.2791504859924316,0.5343347787857056,0.87682044506073,2
0.7521148324012756,1.18459951877594,0.7017167210578918,0.7106378078460693,3
0.7518584728240967,1.0478875637054443,0.8433476686477661,0.48675164580345154,4
0.7713406682014465,0.994308352470398,0.7306867241859436,0.6337208151817322,5
0.8162009716033936,0.8719350099563599,0.7145922780036926,0.6984379887580872,6
0.7903102040290833,0.7814540266990662,0.8905579447746277,0.26871103048324585,7
0.8613176345825195,0.6133755445480347,0.8626609444618225,0.31573596596717834,8
0.8797743916511536,0.5065572261810303,0.8497853875160217,0.3869781792163849,9
0.8828505277633667,0.47484272718429565,0.8798283338546753,0.25579124689102173,10
0.891309916973114,0.451105535030365,0.8690987229347229,0.3310810923576355,11
0.9054088592529297,0.3919953405857086,0.8390557765960693,0.40382349491119385,12
0.9177134037017822,0.3217480480670929,0.9495708346366882,0.13868451118469238,13
0.9087413549423218,0.40654441714286804,0.8723176121711731,0.33045148849487305,14
0.9215585589408875,0.3154805898666382,0.9281116127967834,0.17462018132209778,15
0.9182261228561401,0.3402838408946991,0.9206008315086365,0.21422059834003448,16
0.9223276376724243,0.34297025203704834,0.9206008315086365,0.20683403313159943,17
0.9356575012207031,0.2940695583820343,0.9002146124839783,0.2484791874885559,18
0.9459112882614136,0.20834743976593018,0.9399141669273376,0.15124915540218353,19
0.9418097734451294,0.3153547942638397,0.9227467775344849,0.2099505215883255,20
0.9369392395019531,0.25162017345428467,0.9388412237167358,0.15937988460063934,21
0.9433478713035583,0.2563953697681427,0.8819742202758789,0.31323426961898804,22
0.956165075302124,0.18502774834632874,0.9388412237167358,0.16266867518424988,23
