time,open,high,low,close,tick_volume
2023-01-02 00:00:00,1.06959,1.07017,1.06883,1.06892,2904
2023-01-02 01:00:00,1.06892,1.0702099999999999,1.06873,1.0702099999999999,420
2023-01-02 02:00:00,1.07012,1.07063,1.06917,1.07037,729
2023-01-02 03:00:00,1.07038,1.07075,1.06922,1.06989,744
2023-01-02 04:00:00,1.0695000000000001,1.0699,1.06857,1.06922,551
2023-01-02 05:00:00,1.06923,1.07023,1.06898,1.06927,481
2023-01-02 06:00:00,1.06929,1.0701,1.06907,1.06994,876
2023-01-02 07:00:00,1.06993,1.07013,1.06875,1.06945,1675
2023-01-02 08:00:00,1.06962,1.07008,1.06722,1.06847,4418
2023-01-02 09:00:00,1.06846,1.06908,1.06626,1.06783,7064
2023-01-02 10:00:00,1.06783,1.06964,1.06708,1.06785,6850
2023-01-02 11:00:00,1.06785,1.06992,1.06765,1.06782,9042
2023-01-02 12:00:00,1.06787,1.06895,1.06736,1.0683,3222
2023-01-02 13:00:00,1.0683,1.0686,1.06781,1.06835,1878
2023-01-02 14:00:00,1.06833,1.06866,1.06751,1.06822,2965
2023-01-02 15:00:00,1.0682,1.06856,1.06754,1.0678,4017
2023-01-02 16:00:00,1.0678,1.06817,1.06701,1.06719,2781
2023-01-02 17:00:00,1.06718,1.06735,1.06579,1.06598,3534
2023-01-02 18:00:00,1.06597,1.06707,1.06506,1.06541,6717
2023-01-02 19:00:00,1.06541,1.06613,1.0653299999999999,1.06599,4765
2023-01-02 20:00:00,1.06599,1.06607,1.06498,1.06516,3927
2023-01-02 21:00:00,1.06515,1.06575,1.06497,1.06546,2515
2023-01-02 22:00:00,1.06546,1.06694,1.06539,1.06626,2819
2023-01-02 23:00:00,1.06626,1.06709,1.06546,1.06616,710
2023-01-03 00:00:00,1.06629,1.06649,1.06613,1.06635,210
2023-01-03 01:00:00,1.06643,1.06832,1.06497,1.06762,10336
2023-01-03 02:00:00,1.06762,1.06779,1.06665,1.06703,5917
2023-01-03 03:00:00,1.06703,1.0674,1.06502,1.06596,12718
2023-01-03 04:00:00,1.06595,1.06775,1.06573,1.06763,8466
2023-01-03 05:00:00,1.06763,1.06783,1.06687,1.0672,6743
2023-01-03 06:00:00,1.06721,1.068,1.06668,1.0667,4908
2023-01-03 07:00:00,1.0667,1.06706,1.06587,1.06633,7399
2023-01-03 08:00:00,1.06632,1.06675,1.06512,1.06518,9049
2023-01-03 09:00:00,1.06518,1.06584,1.06197,1.06233,16049
2023-01-03 10:00:00,1.06233,1.0628,1.05501,1.05516,37871
