time,open,high,low,close,tick_volume
2023-01-02 00:00:00,1.06959,1.07017,1.06943,1.06971,53
2023-01-02 00:15:00,1.0697,1.0697,1.06936,1.06937,18
2023-01-02 00:30:00,1.06936,1.06965,1.06883,1.06897,754
2023-01-02 00:45:00,1.06893,1.06939,1.06887,1.06892,2079
2023-01-02 01:00:00,1.06892,1.06956,1.06873,1.06921,120
2023-01-02 01:15:00,1.06919,1.06978,1.0689899999999999,1.06968,92
2023-01-02 01:30:00,1.06968,1.06997,1.06968,1.0697,98
2023-01-02 01:45:00,1.06991,1.0702099999999999,1.06957,1.0702099999999999,110
2023-01-02 02:00:00,1.07012,1.07052,1.07001,1.0702,49
2023-01-02 02:15:00,1.0702,1.07035,1.06953,1.06965,171
2023-01-02 02:30:00,1.06968,1.07015,1.06917,1.0698,300
2023-01-02 02:45:00,1.06979,1.07063,1.06961,1.07037,209
2023-01-02 03:00:00,1.07038,1.07075,1.07038,1.07041,275
2023-01-02 03:15:00,1.07036,1.07048,1.07036,1.07037,53
2023-01-02 03:30:00,1.0704,1.07049,1.07012,1.07017,125
2023-01-02 03:45:00,1.07017,1.07031,1.06922,1.06989,291
2023-01-02 04:00:00,1.0695000000000001,1.0699,1.06857,1.06883,174
2023-01-02 04:15:00,1.06882,1.06941,1.06882,1.06924,205
2023-01-02 04:30:00,1.06924,1.06924,1.06915,1.06919,65
2023-01-02 04:45:00,1.06915,1.06925,1.0689899999999999,1.06922,107
2023-01-02 05:00:00,1.06923,1.06926,1.06914,1.06921,139
2023-01-02 05:15:00,1.0692,1.06925,1.0691,1.06925,73
2023-01-02 05:30:00,1.06925,1.07023,1.06916,1.0693,195
2023-01-02 05:45:00,1.06927,1.06935,1.06898,1.06927,74
2023-01-02 06:00:00,1.06929,1.0701,1.06907,1.06996,388
2023-01-02 06:15:00,1.06996,1.07009,1.0699,1.07,331
2023-01-02 06:30:00,1.06991,1.07002,1.06986,1.06991,126
2023-01-02 06:45:00,1.0699,1.06995,1.0699,1.06994,31
2023-01-02 07:00:00,1.06993,1.06996,1.06879,1.06944,327
2023-01-02 07:15:00,1.06942,1.06955,1.06903,1.06905,265
2023-01-02 07:30:00,1.0691,1.06964,1.06902,1.06943,528
2023-01-02 07:45:00,1.06936,1.07013,1.06875,1.06945,555
2023-01-02 08:00:00,1.06962,1.07008,1.06903,1.06941,889
2023-01-02 08:15:00,1.0694,1.06944,1.06919,1.06929,992
2023-01-02 08:30:00,1.06924,1.06966,1.0691,1.06921,1712
2023-01-02 08:45:00,1.06926,1.06937,1.06722,1.06847,825
2023-01-02 09:00:00,1.06846,1.06908,1.06808,1.06818,422
2023-01-02 09:15:00,1.06817,1.06847,1.06692,1.06792,744
2023-01-02 09:30:00,1.06793,1.0684,1.06776,1.06798,2161
2023-01-02 09:45:00,1.06797,1.06819,1.06626,1.06783,3737
2023-01-02 10:00:00,1.06783,1.06799,1.06708,1.06747,2063
2023-01-02 10:15:00,1.06747,1.06765,1.06728,1.06757,1005
2023-01-02 10:30:00,1.06757,1.06875,1.06744,1.06795,1974
2023-01-02 10:45:00,1.06795,1.06964,1.0677699999999999,1.06785,1808
2023-01-02 11:00:00,1.06785,1.06992,1.06783,1.06863,2231
2023-01-02 11:15:00,1.06863,1.06865,1.06798,1.06831,3410
2023-01-02 11:30:00,1.06833,1.06843,1.06814,1.0682,865
2023-01-02 11:45:00,1.0682,1.06835,1.06765,1.06782,2536
2023-01-02 12:00:00,1.06787,1.06853,1.06769,1.0684,966
2023-01-02 12:15:00,1.0684,1.06895,1.06815,1.06819,939
2023-01-02 12:30:00,1.06819,1.06864,1.06736,1.06767,783
2023-01-02 12:45:00,1.06766,1.0683,1.06749,1.0683,534
2023-01-02 13:00:00,1.0683,1.0685,1.068,1.06843,590
2023-01-02 13:15:00,1.06844,1.06846,1.06805,1.06819,400
2023-01-02 13:30:00,1.06815,1.06848,1.06808,1.06841,302
2023-01-02 13:45:00,1.06841,1.0686,1.06781,1.06835,586
2023-01-02 14:00:00,1.06833,1.06864,1.06751,1.06861,572
2023-01-02 14:15:00,1.06861,1.06866,1.06759,1.06837,728
2023-01-02 14:30:00,1.06837,1.06864,1.06775,1.06827,876
